"region_code","city_name","app_id"
"ID-NU","Belu","ABU"
"ID-SU","Labuhan batu utara","AEK"
"ID-PA","Arfak","AGG"
"ID-PA","Asmat","AGT"
"ID-S5","Minahasa utara","AID"
"ID-JA","Ambarawa","AMB"
"ID-N7","Mataram","AMI"
"ID-KA","Amuntai","AMN"
"ID-S9","Tojo una-una","AMP"
"ID-MA","Ambon","AMQ"
"ID-S5","Minahasa selatan","AMR"
"ID-KE","Anambas","ANA"
"ID-BA","Karang asem","APU"
"ID-BE","Argamakmur","ARG"
"ID-14","Arosuka","ARO"
"ID-SU","Asahan","ASH"
"ID-NU","Baa","BAA"
"ID-SU","Toba samosir","BAE"
"ID-S9","Banggai","BAG"
"ID-15","Balaraja","BAL"
"ID-16","Bangko","BAO"
"ID-KA","Hulu sungai tengah","BAR"
"ID-RI","Rokan hilir","BAS"
"ID-18","Batu","BAT"
"ID-S9","Banggai laut","BAU"
"ID-KA","Banjarmasin","BDJ"
"ID-19","Bandung","BDO"
"ID-LA","Lampung tengah","BDR"
"ID-21","Bengkayang","BEG"
"ID-22","Luwu","BEL"
"ID-22","Selayar","BEN"
"ID-NU","Malaka","BET"
"ID-23","Berau","BEU"
"ID-JA","Batang","BGG"
"ID-19","Bogor","BGR"
"ID-RI","Bengkalis","BGS"
"ID-PA","Biak","BIK"
"ID-S5","Bitung","BIT"
"ID-19","Banjar","BJA"
"ID-KA","Banjarbaru","BJB"
"ID-18","Bojonegoro","BJE"
"ID-SU","Binjai","BJI"
"ID-JA","Banjarnegara","BJN"
"ID-24","Baturaja","BJT"
"ID-NU","Bajawa","BJW"
"ID-LA","Lampung selatan","BKH"
"ID-19","Bekasi","BKI"
"ID-BE","Bengkulu","BKS"
"ID-NA","Gayo lues","BLK"
"ID-LA","Way kanan","BLM"
"ID-KA","Tanah bumbu","BLN"
"ID-NA","Aceh barat daya","BLP"
"ID-18","Blitar","BLT"
"ID-S5","Mongondow selatan","BLU"
"ID-N7","Bima","BMU"
"ID-RI","Kampar","BNG"
"ID-BA","Bangli","BNL"
"ID-26","Kepulauan taliabu","BOB"
"ID-PA","Boven digoel","BOD"
"ID-JA","Blora","BOL"
"ID-NU","Borong","BOR"
"ID-PA","Waropen","BOW"
"ID-23","Balikpapan","BPN"
"ID-JA","Brebes","BRB"
"ID-S5","Bolaang mongondow utara","BRK"
"ID-NA","Bireuen","BRW"
"ID-KE","Bintan","BSB"
"ID-27","Batauga","BTA"
"ID-KE","Batam","BTH"
"ID-NA","Banda aceh","BTJ"
"ID-DI","Bantul","BTL"
"ID-14","Bukit tinggi","BTT"
"ID-29","Buntok","BTW"
"ID-S9","Morowali","BUG"
"ID-MA","Seram bagian timur","BUL"
"ID-S9","Buol","BUO"
"ID-27","Buton utara","BUR"
"ID-22","Barru","BUU"
"ID-27","Bau-bau","BUW"
"ID-18","Banyuwangi","BWI"
"ID-18","Bondowoso","BWS"
"ID-18","Bangkalan","BWX"
"ID-22","Bantaeng","BXG"
"ID-23","Bontang","BXT"
"ID-22","Bulukumba","BXW"
"ID-JA","Boyolali","BYL"
"ID-14","Tanah datar","BZS"
"ID-18","Caruban","CAB"
"ID-JA","Cepu","CEU"
"ID-19","Cibinong","CIB"
"ID-15","Cilegon","CIL"
"ID-19","Cimahi","CIM"
"ID-15","Ciputat","CIP"
"ID-19","Cianjur","CJR"
"ID-19","Cikampek","CKP"
"ID-19","Cikarang","CKR"
"ID-NA","Calang","CLG"
"ID-JA","Cilacap","CLP"
"ID-19","Ciamis","CMI"
"ID-19","Cirebon","CRN"
"ID-BE","Rejang lebong","CRP"
"ID-26","Pulau morotai","DAR"
"ID-SU","Deli serdang","DES"
"ID-14","Dhamasraya","DHR"
"ID-16","Jambi","DJB"
"ID-PA","Jayapura","DJJ"
"ID-JA","Demak","DMK"
"ID-MA","Kepulauan aru","DOB"
"ID-S9","Donggala","DON"
"ID-SU","Humbang hasundutan","DOS"
"ID-19","Depok","DPK"
"ID-BA","Denpasar","DPS"
"ID-N7","Dompu","DPU"
"ID-RI","Dumai","DUM"
"ID-22","Enrekang","EKG"
"ID-PA","Yalimo","ELE"
"ID-NU","Ende","ENE"
"ID-30","Tambrauw","FEF"
"ID-30","Fak-fak","FKQ"
"ID-N7","Lombok barat","GER"
"ID-BA","Gianyar","GIA"
"ID-SU","Gunung sitoli","GNS"
"ID-SU","Padang lawas utara","GNT"
"ID-19","Garut","GRT"
"ID-18","Gresik","GSK"
"ID-GO","Gorontalo","GTO"
"ID-LA","Pesawaran","GTT"
"ID-19","Indramayu","IDM"
"ID-NA","Idi rayeuk","IDR"
"ID-PA","Puncak","ILA"
"ID-24","Ogan ilir","INL"
"ID-26","Halmahera barat","JAL"
"ID-18","Jombang","JBG"
"ID-18","Jember","JBR"
"ID-DK","Jakarta","JKT"
"ID-DI","Yogyakarta","JOG"
"ID-22","Jeneponto","JPO"
"ID-JA","Jepara","JPR"
"ID-NA","Jantho","JTO"
"ID-JA","Karang anyar","KAA"
"ID-30","Kaimana","KAI"
"ID-PA","Tolikara","KAR"
"ID-BE","Kaur","KAW"
"ID-LA","Lampung utara","KBB"
"ID-NU","Kalabahi","KBH"
"ID-PA","Mamberamo tengah","KBK"
"ID-JA","Kebumen","KBM"
"ID-KA","Kotabaru","KBW"
"ID-NA","Kutacane","KCA"
