"country_id","code","default_name","app_id"
"ID","ID-NU","Nusa tenggara timur","2"
"ID","ID-SU","Sumatera utara","3"
"ID","ID-PA","Papua","4"
"ID","ID-S5","Sulawesi utara","5"
"ID","ID-JA","Jawa tengah","6"
"ID","ID-N7","Nusa tenggara barat","7"
"ID","ID-KA","Kalimantan selatan","8"
"ID","ID-S9","Sulawesi tengah","9"
"ID","ID-MA","Maluku","10"
"ID","ID-KE","Kepulauan riau","11"
"ID","ID-BA","Bali","12"
"ID","ID-BE","Bengkulu","13"
"ID","ID-14","Sumatera barat","14"
"ID","ID-15","Banten","15"
"ID","ID-16","Jambi","16"
"ID","ID-RI","Riau","17"
"ID","ID-18","Jawa timur","18"
"ID","ID-19","Jawa barat","19"
"ID","ID-LA","Lampung","20"
"ID","ID-21","Kalimantan barat","21"
"ID","ID-22","Sulawesi selatan","22"
"ID","ID-23","Kalimantan timur","23"
"ID","ID-24","Sumatera selatan","24"
"ID","ID-NA","Nanggroe aceh darussalam","25"
"ID","ID-26","Maluku utara","26"
"ID","ID-27","Sulawesi tenggara","27"
"ID","ID-DI","D.i. yogyakarta","28"
"ID","ID-29","Kalimantan tengah","29"
"ID","ID-30","Papua barat","30"
"ID","ID-GO","Gorontalo","31"
"ID","ID-DK","Dki jakarta","32"
"ID","ID-33","Bangka belitung","33"
"ID","ID-34","Sulawesi barat","34"
"ID","ID-35","Kalimantan utara","35"
